Date,New Cases
Nov  2 2021,74638
Nov  1 2021,125606
Oct 31 2021,17870
Oct 30 2021,24628
Oct 29 2021,87851
Oct 28 2021,82545
Oct 27 2021,84067
Oct 26 2021,101215
Oct 25 2021,102106
Oct 24 2021,20557
Oct 23 2021,25597
Oct 22 2021,80054
Oct 21 2021,86460
Oct 20 2021,75872
Oct 19 2021,80001
Oct 18 2021,71829
Oct 17 2021,48759
Oct 16 2021,60070
Oct 15 2021,90025
Oct 14 2021,95666
Oct 13 2021,96405
Oct 12 2021,90257
Oct 11 2021,78187
Oct 10 2021,59076
Oct  9 2021,69011
Oct  8 2021,107417
Oct  7 2021,111005
Oct  6 2021,107104
Oct  5 2021,104971
Oct  4 2021,90021
Oct  3 2021,68774
Oct  2 2021,77995
Oct  1 2021,118396
Sep 30 2021,122497
Sep 29 2021,114728
Sep 28 2021,115943
Sep 27 2021,107376
Sep 26 2021,76428
Sep 25 2021,91924
Sep 24 2021,129394
Sep 23 2021,133928
Sep 22 2021,125190
Sep 21 2021,133012
Sep 20 2021,92144
Sep 19 2021,91238
Sep 18 2021,118128
Sep 17 2021,152247
Sep 16 2021,165229
Sep 15 2021,160063
Sep 14 2021,166653
Sep 13 2021,113098
Sep 12 2021,104092
Sep 11 2021,141855
Sep 10 2021,168914
Sep  9 2021,189783
Sep  8 2021,181743
Sep  7 2021,111103
Sep  6 2021,100261
Sep  5 2021,115881
Sep  4 2021,141664
Sep  3 2021,182634
Sep  2 2021,185406
Sep  1 2021,201579
Aug 31 2021,183604
Aug 30 2021,133221
Aug 29 2021,113112
Aug 28 2021,150149
Aug 27 2021,182952
Aug 26 2021,190192
Aug 25 2021,186545
Aug 24 2021,177621
Aug 23 2021,121249
Aug 22 2021,119611
Aug 21 2021,143346
Aug 20 2021,166367
Aug 19 2021,175050
Aug 18 2021,174798
Aug 17 2021,161030
Aug 16 2021,113391
Aug 15 2021,107285
Aug 14 2021,137887
Aug 13 2021,147782
Aug 12 2021,150885
Aug 11 2021,147541
Aug 10 2021,143746
Aug  9 2021,96584
Aug  8 2021,94073
Aug  7 2021,120662
Aug  6 2021,126423
Aug  5 2021,129852
Aug  4 2021,124477
Aug  3 2021,115915
Aug  2 2021,106092
Aug  1 2021,63068
Jul 31 2021,80911
Jul 30 2021,106064
Jul 29 2021,99697
